title,director,cast,country,date_added,release_year,rating,number_of_seasons,listed_in,description
Rust Valley Restorers,Unknown,"Mike Hall, Michael Daingerfield",Canada,2019-08-23T00:00:00Z,2019,TV-14,1,"International TV Shows, Reality TV","Old-school auto collector Mike Hall, his pal Avery Shoaf and son Connor Hall go the extra mile to restore retro cars – and hopefully turn a profit."
Deadwind,Unknown,"Pihla Viitala, Lauri Tilkanen, Jani Volanen, Tommi Korpela, Pirjo Lonka, Riku Nieminen, Pamela Tola, Jonna Järnefelt, Raimo Grönberg",International,2018-08-23T00:00:00Z,2018,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company."
Love Alarm,Unknown,"Kim So-hyun, Jung Ga-ram, Song Kang, Ko Min-si, Z. Hera, Shin Seung-ho, Lee Jae-eung, Song Sun-mi",Unknown,2019-08-22T00:00:00Z,2019,TV-MA,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities."
Hyperdrive,Unknown,"Rutledge Wood, Mike Hill, Michael Bisping, Lindsay Czarniak",United States,2019-08-21T00:00:00Z,2019,TV-PG,1,Reality TV,"Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built."
Hati Perempuan,Unknown,"Saharul Ridzwan, Mia Ahmad, Hafreez Adam, Hafeez Mikhail, Nadzmi Adhwa, Bella Nazari",Indonesia,2017-08-21T00:00:00Z,2015,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Dramas",Sparks of both passion and contempt fly when a self-sufficient architect is forced to work with a snobbish industrialist.
Leo & Tig,Unknown,"Agniya Kuznetsova, Alexandra Ursulyak, Dmitriy Nazarov, Diomid Vinogradov, Elena Shulman, Kseniya Kutepova",Unknown,2018-08-20T00:00:00Z,2017,TV-Y7,1,Kids' TV,Spunky leopard cub Leo and his loyal tiger pal Tig team up for fun and adventure as they explore the forest and learn about ancient legends.
Basketball or Nothing,Unknown,Unknown,United States,2019-08-02T00:00:00Z,2019,TV-PG,1,"Docuseries, Reality TV",Follow the Chinle High basketball team in Arizona's Navajo Nation on a quest to win a state championship and bring pride to their isolated community.
Care Bears: Welcome to Care-a-Lot,Unknown,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",United States,2019-08-02T00:00:00Z,2012,TV-Y,1,Kids' TV,"Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot, home to the magical Care Bears who each have a special talent."
Fearless,Unknown,"Adriano Moraes, J.B. Mauney, Silvano Alves, Kaique Pacheco, Guilherme Marchi, Robson Palermo",United States,2016-08-19T00:00:00Z,2016,TV-14,1,Docuseries,"On a journey from Brazil to the Las Vegas championships, professional bull riders risk it all to earn money, respect and titles."
Save Our Shelter,Unknown,"Rocky Kanaka, Rob North",United States,2018-08-18T00:00:00Z,2015,TV-G,1,Reality TV,"Pet rescue expert Rocky Kanaka and renovation specialist Rob North travel across North America, transforming animal shelters to help homeless pets."
Marvel's The Defenders,Unknown,"Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones, Sigourney Weaver, Elodie Yung, Elden Henson, Jessica Henwick, Simone Missick, Rachael Taylor, Deborah Ann Woll, Rosario Dawson, Carrie-Anne Moss, Eka Darville, Scott Glenn",United States,2017-08-18T00:00:00Z,2017,TV-MA,1,"Crime TV Shows, TV Action & Adventure, TV Dramas","Daredevil, Jessica Jones, Luke Cage and Iron Fist join forces to take on common enemies as a sinister conspiracy threatens New York City."
Magic for Humans,Unknown,Justin Willman,United States,2018-08-17T00:00:00Z,2018,TV-14,1,"Reality TV, TV Comedies","From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs."
Stay Here,Unknown,"Genevieve Gorder, Peter Lorimer",United States,2018-08-17T00:00:00Z,2018,TV-PG,1,Reality TV,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.
Ultraviolet,Unknown,"Marta Nieradkiewicz, Sebastian Fabijański, Agata Kulesza, Bartłomiej Topa, Magdalena Czerwińska, Michał Żurawski, Marek Kalita, Paulina Chapko, Karolina Chapko, Viet Anh Do",Poland,2018-08-17T00:00:00Z,2017,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",An online community of amateur sleuths use technology to solve crimes – and make quirky friends – in their quest for justice.
DreamWorks Shrek's Swamp Stories,Unknown,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Kristen Schaal, Simon Cowell, Gilles Marini, Charlotte Newhouse, Dean Edwards, Cody Cameron, Christopher Knights, Conrad Vernon",United States,2012-08-17T00:00:00Z,2008,TV-PG,1,"Kids' TV, TV Action & Adventure, TV Comedies","Shrek celebrates Halloween, Puss in Boots is captured by soldiers, and the gang participates in a kingdom-wide singing competition."
45 rpm,Unknown,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,2019-08-16T00:00:00Z,2019,TV-MA,1,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel."
Apache: The Life of Carlos Tevez,Unknown,"Balthazar Murillo, Vanesa González, Alberto Ajaka, Sofía Gala Castiglione, Patricio Contreras, Matías Recalt, Osqui Guzmán, Roberto Vallejos, Diego Gallardo",Argentina,2019-08-16T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.
Better Than Us,Unknown,"Paulina Andreeva, Kirill Käro, Aleksandr Ustyugov, Olga Lomonosova, Eldar Kalimulin, Vitaliya Kornienko, Vera Panfilova, Aleksandr Kuznetsov, Fyodor Lavrov, Sergey Sosnovskiy, Kirill Polukhin, Pavel Vorontsov",Russia,2019-08-16T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists."
Blue Exorcist,Unknown,"Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa, Kazuya Nakai, Koji Yusa, Yuki Kaji, Eri Kitamura, Ayahi Takagaki, Rina Satou, Daisuke Ono, Ryotaro Okiayu, Tetsuya Kakihara, Hiroshi Kamiya, Keiji Fujiwara, Hiroaki Hirata, Jin Urayama, Katsuyuki Konishi, Kisho Taniyama, M・A・O, Kazuhiro Yamaji, Hideyuki Tanaka, Masaki Terasoma, Naomi Shindo",Japan,2019-08-16T00:00:00Z,2011,TV-14,1,"Anime Series, International TV Shows","Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor."
Diagnosis,Unknown,Lisa Sanders,United States,2019-08-16T00:00:00Z,2019,TV-14,1,"Docuseries, Science & Nature TV",Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.
Green Frontier,Unknown,"Juana del Río, Ángela Cano, Miguel Dionisio Ramos, Nelson Camayo, Bruno Clairefond, Marcela Mar, Andrés Crespo, John Narváez, Edwin Morales, Karla López, Antonio Bolívar",Colombia,2019-08-16T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins."
The King's Avatar,Unknown,"Yang Yang, Jiang Shuying, Lai Yumeng, Li Muchen, Lai Yi, Fan Jinwei, Jiang Long, Sun Ning, Li Junchen, Zhao Chulun, Liu Qiushi, Jiang Xueming, Liang Yimu, Yang Tindong, Gao Hanyu, Kuang Muye, Ji Xiangning, Hao Shuai, Song Hanyu, Gu Youming",China,2019-08-16T00:00:00Z,2019,TV-14,1,"International TV Shows, TV Action & Adventure, TV Dramas","When an elite gamer is forced out of his professional team, he becomes a manager of an Internet café and reinvents himself to return to online glory."
Victim Number 8,Unknown,"César Mateo, María de Nati, Verónika Moral, Iñaki Ardanaz, Farah Hamed, Lisi Linder, Khaled Kouka, Óscar Zafra, Jesús Ruyman, Alfonso Torregrosa, Itziar Lazkano, Son Khoury, Youssef Bougarouane, Marcial Álvarez",Spain,2019-08-16T00:00:00Z,2018,TV-MA,1,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",No one can be trusted after a terrorist bombing in Bilbao kills seven and destroys the lives of the suspected jihadi and everyone around him.
Cannon Busters,Unknown,"Yoshitsugu Matsuoka, Hinaki Yano, Shiori Izawa, Junji Majima, Yosuke Akimoto, Nobuyuki Hiyama, Takaya Kuroda, Katsuhisa Houki, Taro Yamaguchi, Junko Minagawa, Tomomi Maruyama",International,2019-08-15T00:00:00Z,2019,TV-MA,1,"Anime Series, International TV Shows",Immortal renegade Philly the Kid and his transforming pink Cadillac join a relentlessly upbeat friendship droid on her quest to find a missing prince.
Til Death Do Us Part,"Cho Li, Chen Hung-yi, Weica Wang, Liu Bang-yao, Lin Guan-fu, Shen Chi, YC Tom Lee","Wen Chen-ling, River Huang, Lin He-xuan, Phoebe Lin, Janel Tsai, Dara Hanfman, Hsia Teng-hung, Nikki Hsin-Ying Hsieh",Taiwan,2019-08-15T00:00:00Z,2019,TV-MA,1,"International TV Shows, TV Dramas, TV Thrillers","Based on the speculative short stories of MirrorFiction, this sci-fi thriller anthology plunges headlong into our deepest desires – and darkest fears."
Nuestra Lucha Libre,Unknown,Unknown,Unknown,2018-08-15T00:00:00Z,2018,TV-MA,1,"Docuseries, International TV Shows, Spanish-Language TV Shows","This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more."
The Creative Indians,Unknown,Unknown,Unknown,2018-08-15T00:00:00Z,2017,NR,1,"Docuseries, International TV Shows","From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys."
20 Minutes,Unknown,"Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, İpek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer",Turkey,2017-08-15T00:00:00Z,2013,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth."
Million Yen Women,Unknown,"Yojiro Noda, Rila Fukushima, Rena Matsui, Miwako Wagatsuma, Rena Takeda, Yuko Araki, Yuya Endo, Kaito Yoshimura, Moeka Hoshi, Juri Ihata, Mariko Tsutsui, Kanji Furutachi, Tetsuhiro Ikeda, Takashi Yamanaka, Tomoya Nakamura, Lily Franky",Japan,2017-08-15T00:00:00Z,2017,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum."
Behind Enemy Lines,Unknown,Unknown,United States,2016-08-15T00:00:00Z,2001,TV-14,1,"British TV Shows, Docuseries","After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics."
Happy Jail,Unknown,Unknown,Unknown,2019-08-14T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, Docuseries","The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict, sparking controversy and criticism."
Exclusive Edition,James Lee,"Berg Lee, Yise Loo, Alvin Wong, Hady, Monday Kang, Ruobing, Wymen Yang, May June, Aenie Wong, Ernest Chong",Unknown,2017-08-14T00:00:00Z,2008,TV-14,1,"International TV Shows, TV Dramas","Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia."
Glowing Embers,Unknown,"Henley Hii, Debbie Goh, Frederick Lee, Wymen Yang, Melvin Sia, Alvin Wong",Unknown,2017-08-14T00:00:00Z,2010,TV-14,1,"International TV Shows, TV Dramas","Amid Malaysia's charcoal industry, a woman deftly adapts to her environs as she juggles three men in her life: her husband, her lover and her friend."
Persona,Unknown,"Loo Aye Keng, Kyo, Jojo Goh, Fabian Loo, Emily Chan",Unknown,2017-08-14T00:00:00Z,2015,TV-PG,1,"Crime TV Shows, International TV Shows, TV Dramas",A private investigation firm takes on sensitive cases while its uniquely skilled agents deal with issues both inside and out of the office.
The Iron Lady,Unknown,"Yeo Yann Yann, Aenie Wong, Seck Fook Yee, Jacky Kam, Frederick Lee, Jeffery Cheng, Mandy Chen",Unknown,2017-08-14T00:00:00Z,2009,TV-PG,1,"International TV Shows, TV Dramas","After business troubles destroy her father, a headstrong young woman does battle with her deeply patriarchal culture to secure her family's legacy."
Tiffany Haddish Presents: They Ready,Unknown,"Tracey Ashley, Flame Monroe, Aida Rodriguez, Marlo Williams, April Macie, Chaunté Wayans, Tiffany Haddish",United States,2019-08-13T00:00:00Z,2019,TV-MA,1,"Stand-Up Comedy & Talk Shows, TV Comedies","Hand-picked by Tiffany Haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy."
DC Super Hero Girls,Unknown,"Grey Griffin, Tara Strong, Nicole Sullivan, Kari Wahlgren, Myrna Velasco, Kimberly Brooks",United States,2019-08-12T00:00:00Z,2019,TV-Y7-FV,1,Kids' TV,"As Metropolis High students, super teens Wonder Woman, Supergirl, Bumblebee, Batgirl, Zatanna, and Green Lantern fight crime, classwork and crushes."
72 Dangerous Animals: Asia,Unknown,Bob Brisbane,Australia,2018-08-10T00:00:00Z,2018,TV-14,1,"Docuseries, International TV Shows, Science & Nature TV","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
Afflicted,Unknown,Unknown,United States,2018-08-10T00:00:00Z,2018,TV-MA,1,"Docuseries, Reality TV",Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.
All About the Washingtons,Unknown,"Joseph Simmons, Justine Simmons, Kiana Ledé, Nathan Anderson, Leah Rose Randall, Maceo Smedley, Quincy Fouse, DJ Ruckus, Adain Bradley, Tim Meadows, Daymond John, Erick Chavarria, Christopher Clarke, Aubrey Cleland, Arsenio Hall, Stephen Schneider, Max Goudsmit, Noah Gerry, Jamie VanDyke, Ashleigh Hairston",United States,2018-08-10T00:00:00Z,2018,TV-PG,1,TV Comedies,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos."
Khaani,Unknown,"Feroze Khan, Sana Javed, Mehmood Aslam, Saman Ansari, Qavi Khan, Salma Hasan, Rashid Farooqi, Muhammad Mubarik Ali",Pakistan,2019-08-01T00:00:00Z,2017,TV-14,1,"Crime TV Shows, International TV Shows, Romantic TV Shows","After a rich politician's son kills a young woman's brother, an unlikely romantic connection complicates her pursuit of justice."
Regiment Diaries,Unknown,Unknown,India,2019-08-01T00:00:00Z,2018,TV-14,1,"Docuseries, International TV Shows","Historical footage and interviews with soldiers showcase war stories, unique traditions and unifying principles of the Indian Army’s various regiments."
Sleepless Society: Nyctophobia,Unknown,"Chermarn Boonyasak, Nattapat Nimjirawat, Jason Young, Matthew Deane Chanthavanij, Inthira Charoenpura, Natharinee Kanasoot",Thailand,2019-08-01T00:00:00Z,2019,TV-MA,1,"International TV Shows, TV Mysteries, TV Thrillers","Following the death of her child, a grief-stricken woman struggles to find peace until a mysterious boy appears, claiming to be her reincarnated son."
The Chefs' Line,Unknown,"Dan Hong, Mark Olive, Melissa Leong, Maeve O'Meara",Australia,2019-08-01T00:00:00Z,2017,TV-14,1,"International TV Shows, Reality TV",Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.
Becoming Champions,Unknown,Unknown,Mexico,2018-08-01T00:00:00Z,2018,TV-G,1,"Docuseries, International TV Shows",This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.
Los tiempos de Pablo Escobar,Alessandro Angulo,Unknown,Colombia,2018-08-01T00:00:00Z,2012,TV-MA,1,"Crime TV Shows, Docuseries, International TV Shows","Featuring never-before-seen images, personal testimonies and more, this is the story of one of the most notorious drug smugglers of all time."
Switched,Unknown,"Daiki Shigeoka, Tomohiro Kamiyama, Kaya Kiyohara, Miu Tomita, Reika Kirishima, Shinji Rokkaku, Miu Suzuki, Riko Hisada, Megumi Seki, Shoko Nakajima",Japan,2018-08-01T00:00:00Z,2018,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries","High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life."
The Could’ve-Gone-All-the-Way Committee,Unknown,"Jiro Sato, Mai Shiraishi, Takayuki Yamada, Shotaro Mamiya, Tamotsu Kanshuji, Yuka Ogura, Kenta Hamano, Yuka Kuramochi, Yuki Morinaga, Rena Takeda, Munenori Nagano, Shiori Enatsu, Toru Tezuka, Yosuke Sugino, Maika Yamamoto, Akiyoshi Nakao, Aoi Morikawa, Masato Yano, Mari Yamachi, Megumi, Mayuko Fukuda, Yuta Koseki",Japan,2018-08-01T00:00:00Z,2018,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",People bring their stories of missed lust connections to an objective panel of experts who then judge whether they could have gone all the way or not.
Aussie Gold Hunters,Unknown,Unknown,Australia,2017-08-01T00:00:00Z,2016,TV-MA,1,"Docuseries, International TV Shows, Reality TV",Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.
Bountiful Blessings,Unknown,"Jessica Hsuan, Tay Ping Hui, Thomas Ong, Jeffrey Xu, Ya Hui, Ann Kok, Zhu Houren, Yao Wenlong",Unknown,2017-08-01T00:00:00Z,2011,TV-14,1,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","A former mortal who is now the Kitchen God cooks up celestial turmoil when he impregnates and opens a restaurant with his beloved, reincarnated wife."
Close Your Eyes Before It’s Dark,Unknown,"Bryan Shu-Hao Chang, Jian Man-shu, Yen Tsao, Sun Ke-fang, Allen Chen, Jake Hsu, Chu Sheng-ping, Blue Lan",Taiwan,2017-08-01T00:00:00Z,2016,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","While vacationing at a mountain cabin, a group of longtime friends uncovers an old scandal that could have deadly consequences."
Entangled,Unknown,"Thomas Ong, Jack Tan, Margaret Wang, Kate Pang, Huang Qi Ming, Aileen Tan, Rayson Tan, Zhang Shui Fa",South Korea,2017-08-01T00:00:00Z,2014,TV-MA,1,"International TV Shows, TV Dramas","When the children of two families become friends, they begin to unravel a horrific crime in the past that already linked their fathers to each other."
Everyday Miracles,Unknown,Mark Miodownik,United Kingdom,2017-08-01T00:00:00Z,2014,TV-PG,1,"British TV Shows, Docuseries, International TV Shows",Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.
Fartsa,Unknown,"Alexander Petrov, Fillip Gorenshtein, Maksim Emelyanov, Aleksey Vesyolkin, Zoya Berber, Ieva Andrejevaite",Russia,2017-08-01T00:00:00Z,2015,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","As four Russian friends grow up in the early '60s, life, love and the curse of success threaten to derail their dreams."
Genius of the Ancient World,Unknown,Bettany Hughes,United Kingdom,2017-08-01T00:00:00Z,2015,TV-PG,1,"British TV Shows, Docuseries, International TV Shows","Historian Bettany Hughes travels to India, Greece and China to explore the lives and times of Buddha, Socrates and Confucius."
Genius of the Modern World,Unknown,Bettany Hughes,United Kingdom,2017-08-01T00:00:00Z,2016,TV-14,1,"British TV Shows, Docuseries, International TV Shows","Historian Bettany Hughes explores the intellectual landscapes that helped shape the work of Karl Marx, Friedrich Nietzsche and Sigmund Freud."
"Have You Ever Fallen in Love, Miss Jiang?",Unknown,"Lan Cheng-lung, Esther Yeh, He Yu-chen, Greg Han",Unknown,2017-08-01T00:00:00Z,2016,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",A new teacher finds herself in an unenviable situation after witnessing a troubling interaction between an administrator and a student.
Hogie the Globehopper,Unknown,Mae Elliessa,United States,2017-08-01T00:00:00Z,2016,TV-Y,1,Kids' TV,"Hogie and his friends travel the world, exploring far-flung locales like Buenos Aires, Cairo, Hawaii and the Galapagos Islands."
Life Plan A and B,Unknown,"Rainie Yang, Yan Yu-lin, Johnny Lu, Chang Fu-chien, Chen Chi-hsia",Taiwan,2017-08-01T00:00:00Z,2016,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Dramas",Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.
Locust,Unknown,"Pyotr Fyodorov, Paulina Andreeva, Dmitry Shevchenko, Aleksey Gorbunov, Evgeniya Dmitrieva, Maksim Pinsker",Russia,2017-08-01T00:00:00Z,2014,TV-MA,1,"Crime TV Shows, International TV Shows, Romantic TV Shows","A torrid affair between a passionate lowborn poet and a wealthy Moscow heiress is engulfed by class difference, criminality and, eventually, murder."
Love Storm,Unknown,"Chris Wu, Chen Yu, Greg Han, Esther Yeh, Yeh Chen-Ting, Deng Yu-kai",Unknown,2017-08-01T00:00:00Z,2016,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Comedies",Three grown siblings must rethink their idea of family when they learn their parents are getting divorced and have their eyes on new partners.
Nurses Who Kill,Unknown,Unknown,United Kingdom,2017-08-01T00:00:00Z,2016,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Top medical, criminal and psychological experts analyze the motives and methods of nurses who use their positions to kill rather than heal."
Surviving Escobar - Alias JJ,Unknown,"Juan Pablo Urrego, Amparo Grisales, Nicole Santamaría, Elkin Díaz, Francisco Javier Rueda, Ramsés Ramos, Lina Marcela Castrillón, Toto Vega, Camilo Sáenz, Mijail Mulkay, Natasha Klauss, Nelson Camayo",Unknown,2017-08-01T00:00:00Z,2017,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy."
The In-Laws,Unknown,"Louise Lee, Rui En, Pierre Png, Darren Lim, Cynthia Koh, Belinda Lee",Unknown,2017-08-01T00:00:00Z,2011,TV-14,1,"International TV Shows, TV Dramas","She swore not to meddle in her kids' lives like her mother-in-law meddled in hers. But when her sons get married, that vow proves not so easy to keep."
Winter Sun,Unknown,"Şükrü Özyıldız, Aslı Enver, Şenay Gürler, Başak Parlak, Mahir Günşiray, Hakan Boyav, Hakan Gerçek, Berrak Kuş, Gamze Süner Atay, Mehmet Esen",Turkey,2017-08-01T00:00:00Z,2014,TV-14,1,"International TV Shows, TV Dramas, TV Thrillers","Years after ruthless businessmen kill his father and order the death of his twin brother, a modest fisherman adopts a new persona to exact revenge."
World War II in Colour,Unknown,Robert Powell,United Kingdom,2017-08-01T00:00:00Z,2009,NR,1,"British TV Shows, Docuseries, International TV Shows",Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series.
Autumn's Concerto,Unknown,"Ady An, Vanness Wu, Ann Hsu, Chris Wu, Xiao Xiao Bin",Taiwan,2016-08-01T00:00:00Z,2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
Battlefield Recovery,Unknown,Unknown,United Kingdom,2016-08-01T00:00:00Z,2016,TV-PG,1,"British TV Shows, Docuseries, Reality TV",A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.
Cocaine,Unknown,Unknown,United Kingdom,2016-08-01T00:00:00Z,2005,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords."
Edge of the Universe,Unknown,Unknown,United Kingdom,2016-08-01T00:00:00Z,2008,TV-G,1,"British TV Shows, Docuseries, Science & Nature TV","Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos."
La Esclava Blanca,Unknown,"Nerea Camacho, Orián Suárez, Miguel de Miguel, Modesto Lacen, Norma Martínez, Ricardo Vesga, Viña Machado, Andrés Suárez, Natasha Klauss, Miroslava Morales",Colombia,2016-08-01T00:00:00Z,2016,TV-14,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas","In Colombia in 1821, a white orphan is taken in by black slaves. Years after being torn from them, she returns to find her family and childhood love."
Love Cuisine,Unknown,"Lego Lee, Allison Lin, Duncan Chow, Nita Lei, Hank Wu, Calvin Lee, Fu Lei",Taiwan,2016-08-01T00:00:00Z,2015,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Comedies",A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.
Miss Rose,Unknown,"Roy Chiu, Megan Lai, Paul Hsu, Tia Lee, Chunya Chao, Puff Kuo, Blaire Chang",Taiwan,2016-08-01T00:00:00Z,2015,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Resolving to get married soon, hardworking Si-yi finds love in an unexpected place, but her ex and her job interfere with her plans."
Office Girls,Unknown,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,2016-08-01T00:00:00Z,2011,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
Queen of No Marriage,Unknown,"Ethan Juan, Cheryl Yang, Harry Chang, Sylvia Yang, James Wen, Patrick Lee",Taiwan,2016-08-01T00:00:00Z,2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies",Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.
The Prince Who Turns into a Frog,Unknown,"Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang",Taiwan,2016-08-01T00:00:00Z,2005,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead."
Two Fathers,Unknown,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung",Taiwan,2016-08-01T00:00:00Z,2013,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family."
You're My Destiny,Unknown,"Joe Chen, Ethan Juan, Baron Chen, Bianca Bai, Wei-hsun Na, Tan Ai-Chen",Taiwan,2016-08-01T00:00:00Z,2008,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down."
AMO,Unknown,"Derek Ramsay, Vince Rillon, Allen Dizon, Felix Roco, Ruby Ruiz",Philippines,2018-04-09T00:00:00Z,2017,TV-MA,1,"International TV Shows, TV Dramas","Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption."
Residue,Unknown,"Natalia Tena, Iwan Rheon, Jamie Draven, Danny Webb, Franz Drameh, Adrian Schiller, Eleanor Matsuura, Brian Ferguson, Emilia Jones, Tom Goodman-Hill",United Kingdom,2015-04-08T00:00:00Z,2015,TV-MA,1,"British TV Shows, International TV Shows, TV Horror","After a freak explosion wreaks havoc on a sprawling city of the future, eight survivors get caught up in the aftermath and its paranormal effects."
Time: The Kalief Browder Story,Unknown,Unknown,United States,2019-04-07T00:00:00Z,2017,TV-MA,1,Docuseries,"This series traces the tragic case of Kalief Browder, a Bronx teen who spent three horrific years in jail, despite never being convicted of a crime."
